Autor,Centralidad
Chen,0.03331238214959145
Zhang,0.02262727844123193
Liu,0.02011313639220616
Li J,0.01759899434318039
Li,0.01697045883092395
Xiangping; Hu,0.016341923318667503
Xing; Huang,0.016341923318667503
Yuan; Jiang,0.016341923318667503
He; Ji,0.016341923318667503
Weixing; Jiang,0.016341923318667503
