author_full_names,count
Wang,67
Li,64
Zhang,60
Liu,50
Chen,44
Kumar,19
Yang,18
Xu,15
Hu,15
Gao,15
Huang,14
Shi,14
Sun,12
Zhao,12
Guo,11
Ma,11
Zhou,11
Zhu,11
Xie,11
Wu,11
Khan,11
Jiang,10
Ali,9
Xiao,9
Ricca,9
Shen,9
Filippo (24822686600),9
Tan,8
Singh,8
Kharmoum,8
Nassim (57210745538),8
Nguyen,8
Ahmed,7
Liang,7
Gupta,7
Kim,7
Yao,7
Sharma,7
Lu,7
Lee,7
Zheng,7
Yin,7
Gotlieb,6
Kaur,6
Arnaud (56247674500),6
He,6
Yu,6
Tang,6
Niu,6
Santos,6
