,author,degree
0,Li,624
1,Wang,619
2,Zhang,598
3,Liu,496
4,Chen,446
5,Yang,148
6,Hu,141
7,Kumar,133
8,Gao,131
9,Huang,130
10,Xie,129
11,Xu,125
12,Zhou,123
13,Wu,117
14,Sun,114
15,Zhao,112
16,Ma,101
17,Shi,100
18,Jiang,90
19,Guo,89
20,Zhu,89
21,Shen,87
22,Yao,87
23,Ali,85
24,Khan,82
25,Xiao,77
26,Gupta,73
27,Tang,68
28,Lee,67
29,Tan,66
